QRIE Report — Punjab National Bank
Generated: 2026-03-30 14:21:56

═══ Asset Inventory Report ═══

Total Assets,451

asset,ip,port,asset_type,tls_version,cipher_suite,key_exchange,key_size,pfs_status,issuer_ca,valid_to,scan_status,hei_score,risk_category
aa.pnbuat.bank.in,103.109.225.189,443,Web Server,TLSv1.3,TLS_AES_128_GCM_SHA256,ECDHE,2048,Yes,GeoTrust EV RSA CA G2,2026-07-08T23:59:59+00:00,ok,45.0,Moderate
aafip.pnb.bank.in,103.109.225.159,443,Api,TLSv1.3,TLS_AES_128_GCM_SHA256,ECDHE,2048,Yes,GeoTrust EV RSA CA G2,2026-09-01T23:59:59+00:00,ok,45.0,Moderate
aafiu.pnb.bank.in,103.109.225.188,443,Api,TLSv1.3,TLS_AES_128_GCM_SHA256,ECDHE,2048,Yes,GeoTrust EV RSA CA G2,2026-09-01T23:59:59+00:00,ok,45.0,Moderate
admin.netpnb.com,,443,Domain,,,,,Unknown,—,,error,80.0,Critical
ams.pnb.bank.in,103.109.224.217,443,Web Server,TLSv1.3,TLS_AES_128_GCM_SHA256,ECDHE,2048,Yes,GlobalSign GCC R3 EV TLS CA 2025,2027-03-16T07:01:12+00:00,ok,45.0,Moderate
ams.pnbuat.bank.in,103.109.224.141,443,Web Server,TLSv1.3,TLS_AES_128_GCM_SHA256,ECDHE,2048,Yes,GlobalSign GCC R3 EV TLS CA 2025,2027-02-16T10:36:16+00:00,ok,35.0,Moderate
analytics.pnb.bank.in,103.109.224.105,443,Unknown,TLSv1.3,TLS_AES_128_GCM_SHA256,ECDHE,2048,Yes,GeoTrust EV RSA CA G2,2026-09-02T23:59:59+00:00,ok,45.0,Moderate
analytics.pnbindia.in,,443,Domain,,,,,Unknown,—,,error,80.0,Critical
api.pnb.bank.in,,443,Unknown,,,,,Unknown,—,,error,80.0,Critical
apicasa.pnb.bank.in,103.109.227.85,443,Unknown,,,,,Unknown,—,,error,80.0,Critical
apim.pnb.bank.in,103.109.224.51,443,Api,TLSv1.3,TLS_AES_128_GCM_SHA256,ECDHE,2048,Yes,GeoTrust EV RSA CA G2,2026-07-22T23:59:59+00:00,ok,45.0,Moderate
apim.pnbuat.bank.in,103.109.227.177,443,Api,TLSv1.3,TLS_AES_128_GCM_SHA256,ECDHE,2048,Yes,GeoTrust EV RSA CA G2,2026-06-29T23:59:59+00:00,ok,45.0,Moderate
apipnbpfms.pnbindia.in,,443,Domain,,,,,Unknown,—,,error,80.0,Critical
apitestpfms.pnbindia.in,,443,Domain,,,,,Unknown,—,,error,80.0,Critical
apitrk.pnb.bank.in,1.7.178.30,443,Unknown,TLSv1.2,ECDHE-RSA-AES256-GCM-SHA384,ECDHE,2048,Yes,GlobalSign GCC R3 EV TLS CA 2025,2026-10-27T11:36:01+00:00,ok,45.0,Moderate
